rank,title,totalGross,maxTheaters,openingDate,simplePR
506,Peter Brook: The Tightrope,19365,2,01/31/14,9683
507,Watchers of the Sky,19339,4,10/17/14,4835
508,The Kill Team,18983,2,07/25/14,9492
509,Test,18823,6,06/06/14,3137
510,Tasting Menu,18686,5,04/18/14,3737
511,Two Night Stand,18612,5,09/26/14,3722
512,The Passionate Thief (2014 re-release),18404,1,12/05/14,18404
513,Who is Dayani Cristal?,18190,2,04/25/14,9095
514,Journey to the West,18058,7,03/07/14,2580
515,The Homestretch,17306,1,09/12/14,17306
516,Stand Clear of the Closing Doors,17282,3,05/23/14,5761
517,Accident,17161,1,05/23/14,17161
518,Cold Comes the Night,16971,21,01/10/14,808
519,Hank and Asha,16878,2,04/11/14,8439
520,Burning Bush,16731,2,06/11/14,8366
521,The Great Flood,16506,1,01/08/14,16506
522,Magician: The Astonishing Life and Work of Orson Welles,16400,2,12/10/14,8200
523,Levitated Mass,16086,3,09/05/14,5362
524,Kelly & Cal,15297,6,09/05/14,2550
525,Barefoot,15071,18,02/21/14,837
526,Horses of God,14817,2,05/14/14,7409
527,Last Passenger,14806,10,04/25/14,1481
528,Exhibition,14344,1,06/20/14,14344
529,13 Sins,13809,45,04/18/14,307
530,Goodbye To All That,13790,3,12/17/14,4597
531,The Pretty One,13769,5,02/07/14,2754
532,Tosca's Kiss (2014 re-release),13670,2,06/06/14,6835
533,Fifi Howls From Happiness,13614,2,08/08/14,6807
534,Actress (2014),13467,4,11/07/14,3367
535,War of the Worlds: Goliath,13385,18,03/07/14,744
536,A Long Way Down,13347,5,07/11/14,2669
